iter	Passed	Remaining
418	3516	637
419	3526	629
420	3534	621
421	3543	612
422	3551	604
423	3560	596
424	3568	587
425	3577	579
426	3586	571
427	3595	562
428	3603	554
429	3611	545
430	3619	537
431	3627	529
432	3635	520
433	3643	512
434	3651	503
435	3658	495
436	3666	486
437	3673	478
438	3682	469
439	3691	461
440	3698	452
441	3708	444
442	3715	436
443	3722	427
444	3731	419
445	3739	410
446	3747	402
447	3755	393
448	3762	385
449	3769	376
450	3777	368
451	3785	360
452	3792	351
453	3800	343
454	3809	334
455	3817	326
456	3826	318
457	3834	309
458	3842	301
459	3849	292
460	3857	284
461	3864	276
462	3874	267
463	3882	259
464	3890	251
465	3897	242
466	3907	234
467	3917	226
468	3925	217
469	3933	209
470	3941	200
471	3950	192
472	3959	184
473	3968	175
474	3975	167
475	3983	158
476	3991	150
477	3998	142
478	4007	133
479	4016	125
480	4024	117
481	4031	108
482	4039	100
483	4047	91
484	4055	83
485	4063	75
486	4073	66
487	4081	58
488	4088	50
489	4097	41
490	4106	33
491	4113	25
492	4121	16
493	4128	8
494	4136	0
