iter	Logloss
0	0.6879331019
1	0.6827899251
2	0.6783678951
3	0.6746245294
4	0.6691425048
5	0.6650410577
6	0.6620340885
7	0.658672229
8	0.6545124133
9	0.6522655223
10	0.6489243118
11	0.6448958099
12	0.6432543316
13	0.6414936566
14	0.6394007748
15	0.6375635971
16	0.6358808799
17	0.6341327493
18	0.6323621897
19	0.6307143702
20	0.6300627758
21	0.6285209926
22	0.6273031962
23	0.6253292539
24	0.6238293535
25	0.622187214
26	0.6216051125
27	0.6206144206
28	0.6190648315
29	0.6175278858
30	0.6168570226
31	0.6150973297
32	0.6143871814
33	0.6137136053
34	0.6120940011
35	0.6111484478
36	0.6100697401
37	0.6094301984
38	0.6072758972
39	0.6061552355
40	0.6053806671
41	0.6043715412
42	0.6034220545
43	0.6029380163
44	0.6026155452
45	0.6011661873
46	0.6009330737
47	0.6006124581
48	0.6001568912
49	0.6000684353
50	0.5994861716
51	0.5988448239
52	0.5982653431
53	0.597399984
54	0.5966279733
55	0.5961509895
56	0.5954711534
57	0.594781783
58	0.5944297532
59	0.5941362071
60	0.5938409332
61	0.5933453657
62	0.5928939422
63	0.5923028941
64	0.5921659433
65	0.5920673132
66	0.5915657939
67	0.5913152662
68	0.5907829018
69	0.5906117452
70	0.5895082392
71	0.588893878
72	0.5885215389
73	0.5882122682
74	0.5877929281
75	0.5868329756
76	0.5865740775
77	0.5861623708
78	0.5858584854
79	0.5857042076
80	0.5854075031
81	0.5851812418
82	0.5850140053
83	0.5849036959
84	0.5846388691
85	0.5842366596
86	0.5834746825
87	0.583129754
88	0.5829484901
89	0.5828329189
90	0.5826160941
91	0.582293691
92	0.5819523364
93	0.5810212328
94	0.5807298842
95	0.5806571764
96	0.5804839254
97	0.5801904699
98	0.5800614323
99	0.5800089739
100	0.579774793
101	0.5795689149
102	0.579403981
103	0.5792281608
104	0.579002817
105	0.578721671
106	0.5786144285
107	0.5784356623
108	0.5782312365
109	0.5780253379
110	0.5779762661
111	0.5778066617
112	0.5773019361
113	0.5770736771
114	0.5768808968
115	0.5765481259
116	0.5763535278
117	0.5762100698
118	0.5761494829
119	0.5756992847
120	0.5756121424
121	0.5755385507
122	0.5754958324
123	0.5752080528
124	0.5750121906
125	0.5748407861
126	0.5747635031
127	0.5743069424
128	0.5741259806
129	0.5740013222
130	0.5738862204
131	0.5736934824
132	0.5735900782
133	0.5734081641
134	0.5732239509
135	0.5730950134
136	0.5727201729
137	0.5725739096
138	0.5724986026
139	0.5721864155
140	0.5718227277
141	0.5716963514
142	0.571533512
143	0.571394856
144	0.5712540177
145	0.5710803555
146	0.5709302663
147	0.5707970817
148	0.5706978839
149	0.5706708268
150	0.5704949307
151	0.5704629303
152	0.5702452807
153	0.5695969866
154	0.5695445359
155	0.5691353003
156	0.5689259737
157	0.5687867199
158	0.568651924
159	0.5685191325
160	0.5681925034
161	0.5680815198
162	0.5679206915
163	0.5678825473
164	0.5676841504
165	0.567507694
166	0.5669967128
167	0.5668945159
168	0.5667309629
169	0.56662591
170	0.566497715
171	0.5663709736
172	0.5662206826
173	0.5661608489
174	0.5658796893
175	0.5652444836
176	0.5648227638
177	0.564621115
178	0.5644367499
179	0.5638528651
180	0.5634489327
181	0.5629332676
182	0.5627256457
183	0.5626353236
184	0.5625167821
185	0.5622011925
186	0.5617584474
187	0.5613576172
188	0.5609460565
189	0.5605008739
190	0.5603102412
191	0.559823641
192	0.5596154025
193	0.5591431585
194	0.5589336475
195	0.5587364376
196	0.5584338043
197	0.5581133176
198	0.557735891
199	0.5571621682
200	0.5567223314
201	0.5564202381
202	0.5559050806
203	0.5555847146
204	0.5553915075
205	0.5549932959
206	0.5547181755
207	0.554343467
208	0.5539632708
209	0.5535945829
210	0.5531212432
211	0.5528913216
212	0.5521090231
213	0.5517948492
214	0.5512685056
215	0.5509289179
216	0.5506043489
217	0.5502708467
218	0.5499899241
219	0.5496526643
220	0.5492683031
221	0.548957461
222	0.5486550998
223	0.5484576491
224	0.5482422035
225	0.5479086063
226	0.5476962949
227	0.547320539
228	0.5470806412
229	0.5467869495
230	0.5465730311
231	0.5463167565
232	0.5460737675
233	0.5457855074
234	0.5453831664
235	0.5450695535
236	0.5448255487
237	0.5445420831
238	0.5442643434
239	0.5439906859
240	0.543725931
241	0.5434636035
242	0.5432531293
243	0.5429968503
244	0.5427355225
245	0.5425578384
246	0.5419905764
247	0.5417653457
248	0.5413320737
249	0.5410764024
250	0.5408116635
251	0.5403229588
252	0.539986126
253	0.5397346459
254	0.5395107723
255	0.5392842642
256	0.5390503258
257	0.5388562949
258	0.5386429107
259	0.5384079604
260	0.5381588126
261	0.5379808973
262	0.5378089356
263	0.5376013662
264	0.5373481862
265	0.5371607442
266	0.5369143085
267	0.5366970387
268	0.5363386689
269	0.5361104897
270	0.5359230579
271	0.5356577763
272	0.5354724861
273	0.5352047846
274	0.5349912634
275	0.5347456114
276	0.5345392039
277	0.5343639636
278	0.5341461116
279	0.5339802515
280	0.533760775
281	0.53351721
282	0.533280722
283	0.5330425921
284	0.532872069
285	0.532661538
286	0.5324253846
287	0.5322318721
288	0.5320414585
289	0.5318995401
290	0.5317172643
291	0.5313114282
292	0.5311394557
293	0.5307992948
294	0.5305811383
295	0.5304162902
296	0.53022015
297	0.5300364447
298	0.5298236259
299	0.5296241224
300	0.5293931167
301	0.5292291895
302	0.5290569607
303	0.528894448
304	0.5287231323
305	0.5285579892
306	0.5283106954
307	0.5280632746
308	0.5278991134
309	0.5276759286
310	0.5274423773
311	0.5272510356
312	0.5270654728
313	0.5269129855
314	0.5267143473
315	0.5264976085
316	0.526322241
317	0.5261861845
318	0.526060429
319	0.5258690935
320	0.5257131118
321	0.5255744956
322	0.5254205328
323	0.5252584712
324	0.5250440721
325	0.5247687027
326	0.5246135453
327	0.524457979
328	0.5242040623
329	0.524026575
330	0.5238217228
331	0.5236794678
332	0.5234769733
333	0.5233299519
334	0.5231192803
335	0.5229680978
336	0.5228536455
337	0.5226971713
338	0.522513363
339	0.5222546697
340	0.5220384494
341	0.521918965
342	0.5217930311
343	0.5214976053
344	0.521301816
345	0.5210784766
346	0.5208951669
347	0.5207108103
348	0.5205177513
349	0.5203561987
350	0.5202480874
351	0.5201037707
352	0.5199652409
353	0.5197715168
354	0.5195761646
355	0.5194230358
356	0.5192513598
357	0.5191183771
358	0.5189014519
359	0.5187476635
360	0.5186122604
361	0.5183802369
362	0.5182171017
363	0.51808787
364	0.5179310081
365	0.5177553688
366	0.5175948915
367	0.5174214876
368	0.5172330797
369	0.5169978325
370	0.516801847
371	0.5166064644
372	0.5164566878
373	0.5162896652
