iter	Logloss
374	0.5161223962
375	0.5160071429
376	0.5158541886
377	0.5156627513
378	0.5154808447
379	0.5152912227
380	0.515149037
381	0.5149765629
382	0.514826825
383	0.5146298048
384	0.5144600802
385	0.5143355711
386	0.5141642236
387	0.5140191767
388	0.5138942314
389	0.5135526929
390	0.5133399004
391	0.5132071168
392	0.5130737663
393	0.5129042724
394	0.5127283772
395	0.5125329832
396	0.5123997471
397	0.5122289971
398	0.5120914971
399	0.5118980785
400	0.5117625883
401	0.5115527924
402	0.5113864262
403	0.5111889296
404	0.5110892974
405	0.5109207253
406	0.5107943719
407	0.5106259892
408	0.5104519706
409	0.5102926291
410	0.5101591499
411	0.5099991898
412	0.5098350942
413	0.5096908963
414	0.5095004467
415	0.5093779861
416	0.5092599219
417	0.5090542052
418	0.5088764784
419	0.5087813841
420	0.5087275637
421	0.5084849529
422	0.5083751745
423	0.5082234891
424	0.5080807576
425	0.5079122091
426	0.507762177
427	0.5075480851
428	0.5073514079
429	0.5071953352
430	0.5070815596
431	0.5069360199
432	0.50674667
433	0.5065784888
434	0.5064098993
435	0.5063098553
436	0.5061725522
437	0.5060393503
438	0.5059244133
439	0.5057514966
440	0.5054625317
441	0.5053211198
442	0.5052223427
443	0.5050630047
444	0.504895634
445	0.5047216228
446	0.5046022279
447	0.5044819326
448	0.5043080565
449	0.5041762694
450	0.5040446837
451	0.5039820639
452	0.5037951008
453	0.5036676107
454	0.5034742863
455	0.5033528127
456	0.5031650082
457	0.5030588457
458	0.5029670419
459	0.5028386349
460	0.5026502447
461	0.5025675944
462	0.5023933126
463	0.5022003712
464	0.50208299
465	0.5019105886
466	0.5017774869
467	0.5016733678
468	0.501551508
469	0.5013632076
470	0.5012284675
471	0.5011173725
472	0.5009365851
473	0.5007525272
474	0.5006152708
475	0.5005005034
476	0.5003752317
477	0.5002385827
478	0.5000678284
479	0.4998961058
480	0.499738393
481	0.4996028089
482	0.4994559424
483	0.499359526
484	0.4992440716
485	0.4991846255
486	0.4990279926
487	0.4988762747
488	0.4987572979
489	0.4986135613
490	0.4984787235
491	0.4983569566
492	0.4982032996
493	0.4981025242
494	0.4979648949
